country,tmean,pmean
BRB,17.8890283400809,579.827
TMP,17.080773279352353,832.4607570850397
ABW,17.98470445344152,343.50807692307484
BMU,15.675044534412764,707.9444777327977
MNE,9.287850202429144,842.6761214575055
TUV,18.257449392712473,1445.4229352226612
TON,17.366878542510232,868.7883441295315
SGP,18.07089473684211,1173.6473846153995
ADO,7.155550607287426,536.654672064766
LIE,7.797672064777338,973.1832105263157
KIR,18.337862348178373,586.570995951413
PLW,18.206012145749035,1456.1214129554578
MLT,14.21538056680165,253.146408906881
BHR,17.671157894736844,46.79367206477728
DMA,17.50786639676121,589.2894048582842
MDV,18.316044534412768,936.1349919028266
GRD,18.001360323886438,660.6493927125739
SYC,17.840959514170084,666.4664858299708
MHL,18.073680161943475,1271.2611255060929
MCO,11.796595141700285,444.96088663967845
LCA,18.092267206477583,511.7688016194345
SMR,11.889773279352346,460.79969230768995
